AI模块数据区,,,,,,,,,,,,
序号,分类,名称 ,变量定义,PLC地址4x ,modbus地址,类 型 ,单位 ,读写,备 注,,,
1,,抽油机运行状态,pumping_unit_operating_status,43501,3501,int,,R/W,0=运行，1=停机,,,
2,,报警等级,alarm_level,43502,3502,int,,R/W,0=正常，1=1级报警，2=2级报警，3=3级报警,,,
3,,刹车状态,brake_status,43503,3503,int,,R/W,0=松开，1=刹紧，2=故障,,,
4,,故障类型,fault_type,43504,3504,int,,R/W,0=正常，1=皮带全断，2=光杆毛辫子断，3=传感器故障,,,
5,故障源,曲柄销子_左,left_crank_pin,43505,3505,int,,R/W,0=正常，1=故障,,,
6,,曲柄销子_右,right_crank_pin,43506,3506,int,,R/W,0=正常，1=故障,,,
7,,尾轴承,rear_bearing,43507,3507,int,,R/W,0=正常，1=故障,,,
8,,中轴承,intermediate_bearing,43508,3508,int,,R/W,0=正常，1=故障,,,
9,,驴头,horsehead,43509,3509,int,,R/W,0=正常，1=故障,,,
10,,皮带,drive_belt,43510,3510,int,,R/W,0=正常，1=故障,,,
11,,三相电参,three_phase_electrical_params,43511,3511,int,,R/W,0=正常，1=故障,,,
12,,载荷、位移,load_and_displacement,43512,3512,int,,R/W,0=正常，1=故障,,,
13,故障等级,曲柄销子_左_故障等级,left_crank_pin_fault_level,43513,3513,int,,R/W,0=正常，1=1级故障，2=2级故障，3=3级故障,,,
14,,曲柄销子_右_故障等级,right_crank_pin_fault_level,43514,3514,int,,R/W,0=正常，1=1级故障，2=2级故障，3=3级故障,,,
15,,尾轴承_故障等级,rear_bearing_fault_level,43515,3515,int,,R/W,0=正常，1=1级故障，2=2级故障，3=3级故障,,,
16,,中轴承_故障等级,intermediate_bearing_fault_level,43516,3516,int,,R/W,0=正常，1=1级故障，2=2级故障，3=3级故障,,,
17,,驴头_故障等级,horsehead_fault_level,43517,3517,int,,R/W,0=正常，1=1级故障，2=2级故障，3=3级故障,,,
18,,皮带_故障等级,drive_belt_fault_level,43518,3518,int,,R/W,0=正常，1=断1根，2=断2根，3=断3根,,,
19,,三相电参_故障等级,three_phase_electrical_param_fault_level,43519,3519,int,,R/W,0=正常，1=缺1相，2=缺所有,,,
20,,载荷、位移_故障等级,load_displacement_fault_level,43520,3520,int,,R/W,0=正常，1=异常,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"备注：程序运行时，会按照预先约定的地址和位定义，对目标寄存器写入配置值，并周期性或按需读取寄存器当前值，用于获取设备状态、故障标志及实时数据。

在进行寄存器修改前，应确保设备处于允许配置的状态，避免在关键运行过程中频繁改写寄存器导致异常。同时，对于文档中标注为“保留”的位，不进行修改或统一写 0，以防产生不可预期的行为。通过对该寄存器区间的规范化读写，可以实现设备运行参数的动态调整，并为后续数据分析和故障诊断提供可靠的数据基础。",,,,,,,,,,,,
